#{"t_start": 1615584601.7759192, "env_id": "CartPoleSwingUp-v0"}
r,l,t
-217.716088,500,0.265709
-210.866261,249,0.369312
-372.911249,500,1.367977
-380.124663,500,1.568504
-480.301548,500,3.826468
-183.829284,190,3.917252
-299.937777,326,4.059496
-265.38951,318,4.959224
-438.080407,500,5.163851
-491.859406,500,6.154762
-365.707375,389,7.426629
-396.616957,500,7.639435
-175.567399,186,8.181369
-283.172971,385,8.348505
-177.013846,187,8.427525
-124.88791,494,10.135854
-92.345541,497,10.346986
-176.141107,204,10.436185
-334.435152,500,11.03003
-210.564554,383,11.183667
-115.759348,497,12.851706
-128.708235,276,13.012562
-115.365597,158,13.083205
-44.262531,463,13.562652
-73.099045,500,13.763152
-146.10269,156,13.832146
-57.697085,461,15.495443
-49.478192,217,15.63411
-62.499059,345,15.795233
-140.427305,500,16.379242
-126.498247,148,16.441754
-94.419609,171,16.510808
-71.422655,278,16.632778
-4.644642,416,18.287286
-84.133739,372,18.456271
-110.270509,165,18.518871
-96.614445,351,19.062531
-70.556504,369,19.215834
-152.358744,225,19.307396
-63.892189,356,19.80219
-71.604971,409,21.122177
-62.044963,215,21.213317
-63.289462,471,21.798466
-53.998166,365,21.94558
-101.268427,189,22.028754
-54.427774,257,22.516061
16.42506,301,23.834478
-22.692168,246,23.976512
-162.408863,258,24.087725
-72.443848,189,24.473379
-63.301769,154,24.553806
-93.954055,193,24.634345
-65.288295,215,24.719033
-20.436815,302,24.855902
-108.562768,171,25.241284
-115.47864,167,25.311869
-108.246319,163,26.570974
-55.95384,230,26.709777
-17.171317,167,26.790132
-97.08123,205,27.267261
-104.887889,171,27.336275
-92.880163,216,27.436569
9.811783,265,27.552431
10.558585,301,28.02074
-97.548033,251,28.122355
-99.178992,240,29.341149
1.502276,258,29.49222
-95.372043,185,29.583344
-56.078149,190,29.978436
-29.427289,251,30.094289
-37.136765,215,30.178957
-70.540847,177,30.259488
-5.844641,244,30.686262
-31.10944,234,30.785782
69.605299,279,31.985114
34.420507,319,32.158044
-53.053072,322,32.481633
-19.41037,277,32.603152
1.22132,247,32.704443
-32.76974,180,32.783657
-72.229681,182,33.038117
-50.953993,278,33.154036
-9.171343,197,34.32597
-26.284269,257,34.458961
35.56206,283,34.873652
31.819082,288,34.992987
-118.925242,204,35.086745
-68.150607,240,35.193562
-11.685505,214,35.445688
-13.800553,287,35.578628
10.810621,193,35.65963
-28.562356,220,36.92652
53.291283,270,37.197507
90.61039,331,37.341756
-6.82663,249,37.443316
10.823683,224,37.534752
-113.846283,124,37.585588
-9.284563,233,37.807653
-2.148388,216,37.90861
1.653031,244,38.00941
-32.080826,87,39.126364
33.819048,273,39.458478
139.965806,373,39.609688
-5.19026,237,39.710517
12.222397,243,39.811654
157.407794,389,40.196532
-83.788427,184,40.27537
-45.240032,85,40.317879
-7.721616,216,41.636352
-16.057665,203,41.746938
66.360293,229,42.208727
67.849268,336,42.362636
-26.866694,203,42.443962
-24.462107,72,42.484563
-47.274793,123,42.535095
-3.236984,223,42.817954
-12.889599,234,42.918833
-42.509208,81,42.957165
28.853615,224,43.049695
4.237042,248,44.447786
115.101894,269,44.828398
-13.664706,88,44.860823
-2.262883,236,44.972073
-15.203149,208,45.062726
-60.005931,93,45.113612
34.748988,269,45.444972
96.34802,322,45.598839
-29.914623,82,45.629089
41.984667,246,45.749977
68.889731,313,47.407686
-10.846231,206,47.508609
11.382633,235,47.609929
7.99116,237,47.710762
12.29209,204,47.801502
271.200066,500,48.286986
10.34288,238,48.40827
-29.493959,59,48.438493
-43.097029,163,49.794272
-9.311344,212,50.21205
-19.260777,80,50.258915
-54.299988,100,50.312289
114.018142,353,50.475036
-54.73455,101,50.512815
-25.117773,215,50.613078
5.270191,222,50.913501
58.338162,223,51.013738
-20.83334,218,51.114029
86.268905,243,51.211016
22.605295,212,52.770242
166.528003,402,52.933753
129.490406,377,53.101592
120.756621,284,53.506685
-8.289893,213,53.591327
-15.664935,72,53.638191
-24.697975,211,53.722805
26.120793,233,53.823092
107.381056,257,55.889011
8.371482,225,56.020491
-5.852217,216,56.189728
76.869969,245,56.321266
-60.042874,98,56.358985
55.061355,246,56.875802
-8.450367,216,56.976066
86.351134,239,57.107545
73.611426,234,57.276776
70.549422,230,58.927643
52.795736,215,59.043503
-19.639292,200,59.165872
23.139831,205,59.266111
-29.387035,85,59.313006
56.651602,215,59.413218
54.088988,205,59.829964
-32.002252,198,59.930194
34.908157,207,60.03043
108.291083,261,60.14635
60.092772,217,61.65024
70.174816,249,61.803796
-13.293789,73,61.850688
47.217511,212,61.93536
89.869516,248,62.051273
26.092064,192,62.374205
75.252604,251,62.50575
-21.738418,79,62.536961
-3.096221,208,62.637229
41.780332,215,62.737527
335.868246,500,64.479669
82.545455,234,64.626775
226.050988,389,64.844821
214.441411,373,65.456186
-0.328942,188,65.553923
49.056228,205,65.673603
56.013996,216,65.783309
-13.868494,69,65.816222
3.936877,212,67.856631
110.867953,268,68.026894
62.088146,240,68.127187
67.786427,220,68.227423
84.920922,317,68.721261
205.522875,361,68.883377
19.378709,190,68.964131
69.355696,223,69.308878
