#{"t_start": 1615577219.05943, "env_id": "CartPoleSwingUp-v0"}
r,l,t
-467.879813,500,1.441475
-414.219089,500,2.831163
-244.824063,288,10.401186
-293.740527,301,11.24097
-477.723644,500,20.581657
-294.51453,420,21.875396
-346.190312,383,23.056608
-221.431064,472,29.920911
-345.437952,500,31.304796
-232.176827,261,41.140295
-124.925649,500,42.600556
-139.80674,500,49.510098
-314.896463,333,50.563546
-250.310737,500,52.070094
-200.12283,234,59.470417
-200.927972,342,60.420027
-141.345593,182,60.90981
-178.685716,274,61.6629
-166.990975,179,64.560378
-136.093238,243,65.220347
-126.401388,138,65.630608
-247.264816,313,66.540232
-125.119065,159,69.660234
-257.523336,465,72.880037
-171.950174,202,73.470158
-122.764286,144,73.95032
-198.726555,294,77.060196
-138.129969,150,77.500093
-142.613086,284,78.359926
-147.039203,249,79.239856
-188.750782,250,83.040371
-181.103766,254,85.145722
-117.495243,136,85.550008
-126.829069,156,86.010303
-109.455279,120,86.339983
-136.308875,154,86.751686
-90.93719,241,89.130286
-70.79649,452,90.360571
-92.387868,191,90.920483
-75.406395,122,91.310346
-84.319676,97,91.610082
-72.715888,110,93.680032
-62.277204,100,93.950109
-157.460833,247,95.854013
-86.050286,110,96.1499
-88.61903,107,96.433168
-81.141468,500,99.080033
-116.687887,136,99.49015
-83.338916,174,100.03028
-88.007148,111,100.410301
-102.936386,185,100.980351
-89.35118,169,101.480433
-111.582142,124,103.930131
-143.646122,156,104.363827
-117.988232,129,105.770666
-105.965318,117,106.120144
-62.168821,88,106.370058
-74.675056,101,106.640505
4.051106,323,107.510281
-90.129541,108,109.080422
-86.091689,95,109.350357
-83.351276,104,109.660386
-116.740668,134,110.069902
-112.702889,127,110.469915
-107.217912,212,111.155032
-62.655945,98,111.470113
-46.288716,210,113.231863
-58.633542,130,113.590119
-44.765246,80,113.810372
-81.338583,100,114.085239
-58.531843,88,115.470494
-50.702859,78,115.701128
-63.003249,92,115.94328
-63.177971,88,116.196412
-54.103681,88,116.440351
-59.293491,84,116.67018
-71.685224,95,116.92008
-58.563859,93,118.200003
-73.863186,95,118.469903
-58.866457,87,118.720154
-59.618815,86,118.959955
-64.283338,97,119.274693
-125.661223,178,119.899709
-63.618659,87,120.179795
-60.598767,89,120.443041
-46.043896,87,120.680108
-56.975658,80,120.950139
-72.141194,119,122.440326
-92.142835,102,122.739964
-78.542904,104,123.050203
-50.588649,83,123.320087
-62.182978,91,124.849995
-65.238521,90,125.200007
-69.040854,82,125.495077
-60.273079,79,125.760293
-44.557961,78,126.009959
-52.792978,90,126.30023
-26.826314,74,126.514935
-50.217932,82,127.820158
-57.760318,92,128.140313
-38.366812,72,128.360332
-44.604781,83,128.630136
-63.214159,99,128.929861
-34.38173,77,129.140303
-42.311501,78,129.430266
-54.861418,90,129.750259
-55.877763,80,130.010054
-65.837373,82,130.279893
-89.977205,133,130.709968
-59.729314,84,132.580138
-76.372288,101,133.070107
-60.452218,85,133.429883
-66.594287,87,133.810308
-47.710375,85,134.190201
-52.541535,90,134.600157
-55.669142,98,136.28001
-44.248939,79,136.519938
-38.654408,87,136.800083
-37.541374,78,137.040207
-39.990452,68,137.260127
-56.827267,97,137.570244
-35.700844,81,138.970072
-54.0307,85,139.230282
-58.84565,167,139.7545
-45.984432,78,139.989874
-67.78987,80,140.240057
-47.125365,76,140.469788
-48.163358,93,140.759966
-43.320483,93,141.055392
-35.92043,74,141.320254
-72.87233,85,141.639806
-58.212578,79,141.959865
-57.325179,90,143.580259
-45.118714,71,143.819909
-35.866863,84,144.079945
-55.207476,80,144.32999
-44.839991,77,144.557398
-37.43422,76,144.780344
-38.641798,74,145.000266
-83.959761,102,146.580163
-36.017385,63,146.770032
-41.557874,76,146.989886
-35.778091,84,147.22982
-40.823455,70,147.43023
-37.522888,68,147.629863
-31.628345,75,148.870275
-42.560488,79,149.154963
-45.496591,74,149.390314
-57.817249,78,149.619811
-38.587346,75,149.849873
-75.46061,88,150.109971
-47.714612,83,150.380023
-46.730956,71,150.599974
-46.886893,82,150.849883
-37.205533,77,151.069883
-36.592773,81,151.310117
-46.900522,81,151.5611
-35.627794,72,151.779987
-67.078382,78,152.989738
-34.490955,72,153.20017
-70.400287,89,153.469789
-42.473218,63,153.650099
-45.187686,75,153.879775
-45.452201,80,154.120125
-23.241528,61,154.299829
-47.684426,75,154.519882
-45.54648,82,156.125186
-30.102007,70,156.330309
-31.688798,73,156.549962
-49.77999,77,156.769933
-49.927621,75,156.990375
-41.64967,72,158.159931
-42.274103,77,158.390293
-42.594808,73,158.610327
-43.331339,73,158.820193
-39.949625,72,159.045078
-56.919559,78,159.280336
-52.279464,75,159.500087
-45.292817,75,159.730082
-26.193986,63,159.910238
-40.07001,79,160.140063
-32.073215,72,160.359984
-31.57048,76,160.579808
-68.694855,79,160.82001
-39.02111,79,161.049649
-33.651842,77,162.209986
-42.608489,76,162.420113
-28.256281,76,162.630183
-38.360793,79,162.880039
-43.604413,74,163.099833
-35.68061,77,163.330129
-27.856912,61,163.510118
-39.716345,75,163.730289
-45.08892,78,165.233047
-39.796761,76,165.469884
-46.587697,74,165.679871
-33.045949,79,165.920096
-34.500246,78,166.139989
-29.99825,77,167.349905
-27.625635,78,167.570006
-27.043758,65,167.759746
-21.394831,74,167.990096
-46.901818,71,168.190161
-47.286924,78,168.439853
-34.305736,78,168.669794
-18.541255,77,168.899833
-45.156065,72,169.11982
-41.600517,75,169.34986
-49.593563,77,169.580148
-49.00368,78,169.810012
-52.293836,77,170.030143
-44.773615,79,171.290137
-35.738485,77,171.519888
-40.378295,77,171.740212
-36.231015,70,171.950177
-47.356369,80,172.18011
-43.576223,66,172.359944
-50.915454,81,172.590219
-44.368269,77,172.819963
-33.607218,74,173.050238
-35.366266,77,174.572353
-30.021187,75,174.799856
-33.492568,71,175.011387
-43.107678,73,175.219754
-29.576249,70,175.429884
-38.054913,74,176.749759
-27.31892,76,176.979764
-42.908537,70,177.179756
-34.387368,82,177.399819
-36.463553,78,177.629862
-38.178515,69,177.849895
-35.222506,69,178.059671
-38.234833,78,178.289883
-41.315111,71,178.499956
-32.312678,76,178.729674
-34.729946,72,178.939863
-38.028192,76,179.169991
-36.428215,85,179.430043
-23.335247,76,180.629991
-38.615029,74,180.850182
-41.573776,74,181.070078
-37.96877,69,181.280268
-29.404655,61,181.460292
-30.467661,74,181.680208
-37.448082,67,181.87974
-37.402225,78,182.109879
-34.473139,79,182.329861
-32.189681,72,182.530289
-40.405136,80,184.149938
-44.504276,79,184.489877
-40.147487,83,184.800099
-33.743472,74,186.130073
-37.086221,77,186.429902
-31.437072,70,186.690198
-24.520572,75,186.99987
-56.514886,99,187.339679
-34.582583,72,187.580023
-38.578185,72,187.799754
-48.357694,82,188.0499
-38.85747,72,188.269933
-51.765413,81,188.509728
-23.821249,76,188.749899
-35.856787,69,188.969927
-35.862236,82,189.239866
-43.191433,83,190.590024
-52.353561,79,190.900043
-28.762291,71,191.179868
-48.929959,74,191.419832
-26.324922,64,191.620034
-33.235176,73,191.849886
-23.395174,70,192.070021
-36.778533,73,192.279904
-37.707744,67,192.490025
-24.575844,69,192.709905
-55.916216,80,192.959814
-32.304029,72,194.509653
-25.123628,75,194.729853
-36.776621,79,194.980041
-44.717506,68,196.17978
-38.714514,76,196.399864
-24.084216,75,196.640063
-33.083891,76,196.870001
-24.262744,72,197.093155
-27.260186,67,197.280046
-27.841767,71,197.499911
-28.438518,71,197.719907
-30.65198,65,197.920152
-35.743953,74,198.149804
-22.805691,68,198.350242
-39.877878,76,198.589905
-36.74483,70,198.799856
-23.417516,64,198.999987
-24.409762,75,200.409822
-37.321566,76,200.64018
-52.375853,82,200.89593
-27.237833,65,201.089792
-24.5732,72,201.309913
-27.589811,74,201.520202
-31.592219,77,201.764776
-33.852062,67,201.970126
-25.317679,62,202.169701
-32.05476,68,202.369699
-26.473835,67,202.565314
-37.402412,80,204.185125
-19.774271,76,204.484976
-23.350281,82,204.770092
-39.677859,77,206.289712
