#{"t_start": 1615585068.941709, "env_id": "CartPoleSwingUp-v0"}
r,l,t
-345.986669,436,0.23925
-453.533059,470,0.443961
-418.036539,500,1.446969
-297.347981,350,1.607513
-317.198667,453,3.739493
-193.339531,204,3.860035
-412.395071,500,4.073041
-204.759668,218,4.586682
-255.536449,500,4.802153
-335.451437,500,6.53669
-18.124608,500,6.780735
-125.587732,500,7.720282
-71.461264,398,7.895826
-279.456825,500,8.807328
-67.980028,500,10.096745
-213.217456,500,10.988846
-183.598572,226,11.092585
-198.294081,500,11.308914
-248.065316,436,12.254869
-144.051382,372,13.539856
-175.724134,500,14.280493
-223.417229,264,14.392479
-160.834146,172,14.463549
-153.108589,500,14.676851
-205.275197,500,16.675199
-193.002798,244,16.785839
-104.0467,427,17.433856
-107.761924,172,17.518438
-128.592065,146,17.571833
-147.28488,172,17.649942
-101.094389,242,17.751585
-111.273809,175,18.311969
-146.10794,319,19.496989
-141.53132,256,19.628163
-39.951746,330,19.769885
-15.371335,500,20.334095
-82.924459,127,20.380982
-56.371991,392,20.859975
-6.94137,500,22.241113
-97.084712,185,22.323687
-107.132205,120,22.381973
-89.042535,158,22.444634
-112.596685,117,22.762802
-79.613969,169,22.84744
-58.610851,189,22.92555
-126.06058,181,23.010237
-112.398371,281,23.131315
-106.159265,226,23.475002
-86.92512,206,23.575276
-20.383183,444,24.893142
-10.497042,364,25.396293
-38.86909,282,25.520789
-47.29258,266,25.634587
-27.526917,236,25.736255
-49.824661,275,26.172716
-147.547565,183,26.251896
-62.341692,227,27.432685
-52.597247,286,27.573558
-23.049037,251,28.070759
-45.532078,237,28.171763
-88.107912,214,28.272869
-33.995449,236,28.374501
-76.097028,189,28.829372
-41.058778,254,28.943191
-43.011521,249,30.011651
-88.201147,232,30.152685
-47.564723,218,30.253349
-95.105943,287,30.7814
-53.024307,245,30.880905
-48.296523,211,30.974443
-97.227429,434,31.58155
-51.117104,252,31.684888
-34.240914,214,32.884782
-60.951289,226,33.015688
-20.476562,239,33.516113
-2.982394,339,33.66321
-23.684422,225,33.763116
-66.352692,235,33.863404
-113.39085,198,34.393957
-44.814713,237,34.494249
-48.648504,223,34.594492
-52.041601,239,35.757553
5.633593,263,36.233521
-27.809556,248,36.34282
-32.273788,224,36.433927
-36.486719,250,36.547686
-13.09671,226,36.63909
-54.105392,184,37.125611
-55.384902,214,37.225047
-67.313169,189,37.307976
-44.969881,231,38.455883
13.552372,298,38.750344
14.83491,304,38.882263
-48.437051,258,38.994059
-6.592732,287,39.115967
-16.25917,255,39.410464
-71.575976,248,39.519929
-18.777413,241,40.689108
-51.300422,274,40.828069
18.082524,288,41.272661
-30.172957,231,41.388606
-31.397091,258,41.495751
-72.475401,189,41.576911
-10.815152,279,41.927179
-13.284386,292,42.063103
38.539319,270,43.25214
48.881801,304,43.655327
11.733744,258,43.770834
12.024402,243,43.871098
-39.736025,183,43.955745
-79.961947,202,44.040422
-13.179961,246,44.449255
7.988914,238,44.550949
-18.870239,228,44.652273
60.405969,317,45.882619
-22.506765,227,46.215423
-56.842771,253,46.316246
47.111871,282,46.445811
-9.182265,266,46.821175
-76.716544,196,46.914382
100.610453,268,47.026209
16.805902,251,47.135773
44.102107,281,48.680556
-35.04715,121,48.743072
-55.594565,99,48.777349
-9.665348,229,48.877617
45.73963,291,49.00917
51.235728,286,49.395154
-55.831202,192,49.47651
-40.782379,233,49.576002
205.217226,451,50.869076
-43.540473,109,51.141814
46.065015,209,51.233127
-25.194976,71,51.26361
96.283616,365,51.415866
-38.514026,221,51.507297
-41.324898,217,51.822166
48.848683,238,51.923914
-19.23622,236,52.025023
-74.804791,187,52.10392
49.830379,302,53.557409
87.599539,264,53.669166
107.242068,360,53.831524
-54.796462,200,53.912815
-51.520818,101,54.236049
121.647478,368,54.398507
-35.441365,114,54.451935
-9.469534,217,54.536551
-20.370664,206,54.639009
-45.288579,224,56.001893
-53.386549,102,56.050508
-73.723838,177,56.123705
-6.966816,74,56.152122
-49.046017,82,56.192637
-49.298295,100,56.235327
342.376496,500,56.641662
-45.242733,220,56.73311
103.732267,273,56.852822
49.787976,227,56.946275
11.445435,214,58.347803
-12.770911,73,58.398233
-55.316638,97,58.458585
-49.133818,215,58.559247
58.681314,263,58.680965
-37.517551,223,58.772403
27.309268,216,59.020675
-38.840786,175,59.095668
267.031353,466,59.298806
221.288465,390,60.891629
52.610966,212,61.021122
-43.358773,73,61.053616
38.725948,229,61.144989
37.121382,255,61.256829
-3.973486,94,61.417133
-33.92563,76,61.449415
-48.398201,105,61.497775
38.009308,215,61.59115
116.937039,270,61.702708
93.448843,275,62.025355
345.25022,500,63.39537
81.634686,248,63.507121
58.143428,237,63.910549
-0.774622,190,63.988679
-41.002059,109,64.042097
65.900586,226,64.142365
-15.830477,220,64.233858
336.455109,500,65.851602
99.919445,251,65.982391
84.162423,235,66.08293
110.959609,262,66.4078
96.989911,251,66.519534
-16.160662,75,66.55003
26.666226,215,66.641049
-2.249271,179,66.722329
