steps,reward,noise,uncertainty,oldReward,neg,pos,negReward,posReward,negNoise,posNoise,upCounter,topCounter,undetected
191.0,-78.14833868737333,12.0,26.0,-52.148338687373325,118.0,73.0,-38.34625305677764,-39.802085630595684,5.0,7.0,72.0,16.0,0.0
381.0,-42.095666475637586,22.0,48.0,10.208744476665743,173.0,208.0,-59.54279586996654,17.447129394328954,16.0,6.0,198.0,61.0,0.0
299.0,-83.28572171719094,13.0,30.0,-49.99461223662365,182.0,117.0,-44.26145893082668,-39.02426278636426,9.0,4.0,119.0,12.0,0.0
244.0,-122.33937319671742,17.0,40.0,-72.94989428156987,155.0,89.0,-66.99072850088561,-55.34864469583181,10.0,7.0,85.0,18.0,0.0
284.0,-56.02376564498525,14.0,32.0,-22.275241935625672,172.0,112.0,-26.71239890377467,-29.311366741210577,9.0,5.0,132.0,24.0,0.0
259.0,-19.889566214755177,10.0,22.0,2.1104337852448225,147.0,112.0,-3.417174180969596,-16.47239203378558,6.0,4.0,128.0,35.0,0.0
230.0,-81.62900062697008,17.0,38.0,-43.62900062697008,144.0,86.0,-39.45578688243404,-42.17321374453604,9.0,8.0,91.0,24.0,0.0
357.0,9.103491310684035,13.0,36.0,59.99296324560419,206.0,151.0,-3.80132404305607,12.904815353740105,9.0,4.0,195.0,104.0,0.0
206.0,-99.8739794716239,13.0,30.0,-69.8739794716239,127.0,79.0,-58.41972229909152,-41.45425717253238,8.0,5.0,67.0,16.0,0.0
308.0,-23.47956341966693,13.0,30.0,9.346647291444242,180.0,128.0,-20.704646912477983,-2.774916507188948,7.0,6.0,150.0,47.0,0.0
261.0,-67.63112540758999,3.0,8.0,-43.77633605245501,102.0,159.0,-41.000871893931446,-26.630253513658545,2.0,1.0,115.0,27.0,0.0
224.0,-100.04603222664446,12.0,26.0,-74.04603222664446,140.0,84.0,-52.54862462263554,-47.49740760400891,8.0,4.0,78.0,15.0,0.0
222.0,-59.175733068957925,9.0,26.0,-33.175733068957925,81.0,141.0,-33.78486190550029,-25.390871163457632,4.0,5.0,96.0,15.0,0.0
