#{"t_start": 1615582336.9578786, "env_id": "CartPoleSwingUp-v0"}
r,l,t
-910.170097,500,1.489881
-613.644793,500,2.97001
-429.195144,489,11.389808
-445.503631,500,12.85007
-533.810934,402,22.250078
-754.994289,500,23.720177
-638.907392,500,32.089746
-726.971896,500,33.52979
-574.104783,500,43.279671
-870.212559,500,44.749665
-458.692219,332,52.709664
-767.979147,500,54.209812
-562.57577,500,64.399902
-942.312538,500,65.990051
-486.234137,325,74.72962
-550.963138,500,76.349843
-645.782163,500,85.870588
-721.348186,500,88.779941
-539.310264,281,89.679731
-148.927813,190,97.359812
-452.431527,303,98.359753
-499.338195,321,99.474646
-509.02489,500,108.689667
-333.312157,249,110.809472
-511.249403,446,112.219622
-462.564304,237,120.75397
-213.902364,238,121.449702
-162.906628,173,121.969827
-405.290934,292,122.840002
-408.050677,500,132.83958
-536.041934,500,135.849443
-215.209981,240,143.539635
-189.853055,221,144.249574
-378.530833,314,145.159746
-827.250258,500,153.55976
-606.997149,500,156.239718
-144.480334,182,156.769848
-530.963252,383,161.459428
-482.627821,500,162.929759
-248.704961,275,163.734462
-374.293497,403,168.629647
-204.859891,214,170.479446
-186.167673,202,171.099545
-209.489261,220,171.744695
-245.143018,262,174.896574
-266.029848,289,175.76958
-146.263839,192,176.339504
-150.8556,158,176.809459
-234.371415,245,179.899408
-134.618885,169,180.389736
-173.67563,193,182.139686
-146.263516,160,182.649916
-182.555126,223,183.289943
-160.394452,179,185.849517
-105.370507,131,186.239556
-183.237601,188,186.809581
-382.145795,174,187.329457
-138.936142,201,187.909507
-169.933203,194,188.479842
-180.21996,183,191.19977
-176.399645,179,191.729528
-104.297448,137,192.139786
-121.808313,135,193.749689
-158.014194,165,194.239594
-154.224499,167,194.719445
-129.648274,145,197.054749
-136.749039,154,197.509813
-140.131692,145,197.929842
-179.609351,187,198.480037
-180.920378,211,199.119724
-116.154544,125,199.489429
-170.720171,178,201.829324
-134.56774,144,202.283549
-101.864012,115,202.609506
-113.089095,118,202.959736
-131.157205,141,203.389611
-125.914768,131,205.049672
-187.441868,192,205.699639
-186.552185,195,207.859464
-87.016078,99,208.14942
-107.114027,117,208.489469
-144.877316,150,208.919559
-120.984384,129,209.309302
-140.735748,149,209.739347
-127.460146,137,210.139463
-141.231161,147,210.569615
-122.696103,131,212.649384
-145.246017,152,213.089699
-88.569672,113,213.419674
-122.984774,132,213.799853
-144.558342,152,215.449328
-89.879345,128,215.819339
-86.899446,103,216.119424
-108.25654,117,216.469637
-95.184248,103,218.269207
-96.695202,115,218.599486
-97.753724,132,218.991568
-145.056666,161,219.469347
-118.24976,130,219.859495
-90.560112,110,220.17949
-95.493879,105,220.493116
-96.55614,128,220.869397
-87.913272,108,222.64974
-118.303303,128,223.019472
