#{"t_start": 1615584742.850119, "env_id": "CartPoleSwingUp-v0"}
r,l,t
-235.332959,266,0.211435
-245.813741,500,0.45179
-204.132334,210,0.565515
-467.297742,500,1.786248
-400.139949,500,2.057494
-163.277689,178,4.436564
-150.024659,166,4.546865
-353.008896,500,4.826394
-253.89026,265,5.760743
-377.998054,466,5.998584
-321.1076,340,6.16134
-287.727213,295,8.378293
-143.318808,210,8.499051
-283.556549,500,8.720159
-118.431893,500,9.574001
-202.094924,261,9.674204
-182.650816,209,9.77455
-185.17998,224,10.529786
-188.498056,196,11.85912
-174.456471,217,11.979951
-188.354165,211,12.078814
-214.78582,224,12.181743
-135.672014,149,12.71894
-217.932242,321,12.851044
-135.656071,370,13.010295
-252.208391,259,13.38919
-135.318822,262,14.702838
-105.372999,150,14.793927
-157.337887,269,14.915542
-89.685461,405,15.491071
-33.369526,500,15.710657
-158.28419,211,15.807424
-146.901158,159,15.87648
-127.303195,373,17.527149
-102.076462,121,17.579447
-105.077751,146,17.670431
-148.98849,156,17.734409
-148.817735,163,17.812507
-101.85855,193,18.072926
-122.581307,141,18.126303
-76.164001,104,18.173186
-98.386498,109,18.22654
-137.071523,188,18.304646
-126.389619,138,18.358019
-155.017447,196,18.631892
-106.888824,139,18.694361
-102.678193,305,20.025866
-120.556705,139,20.086183
-38.615498,289,20.221686
-124.996328,140,20.446313
-62.755904,94,20.493182
-60.319007,77,20.524423
-84.075858,100,20.562177
-71.952688,92,20.609066
-116.242659,152,20.662469
-108.015896,177,20.746965
-94.82249,115,20.799184
-71.815649,152,20.862699
-95.999839,110,21.058864
-77.391321,251,22.343926
-97.320073,117,22.419521
-96.532447,170,22.510116
-104.353994,119,22.570979
-97.31328,110,22.611546
-35.219892,333,22.891045
-71.301076,115,22.944463
-75.702311,98,22.991306
-66.561305,126,23.04475
-60.866661,90,23.075993
-62.509615,137,23.136289
-75.375644,152,23.197255
-106.678294,135,23.380018
-101.369393,141,23.441016
-85.102359,103,23.481774
-51.87329,98,24.599989
-77.133431,114,24.670522
-95.923496,126,24.741074
-76.715918,96,24.801828
-67.884614,175,24.872758
-53.129848,283,25.111282
-71.190061,131,25.164709
-71.867745,95,25.195951
-89.369165,131,25.249375
-76.813537,120,25.31186
-81.039096,96,25.346317
-66.207671,88,25.386972
-39.39981,164,25.567838
-27.303906,139,25.624714
-79.427819,93,25.678191
-27.843026,380,26.911288
-47.224694,77,26.941527
-53.645131,93,26.991869
-82.630046,100,27.042532
-62.914588,101,27.083262
-69.351071,112,27.244471
-25.913456,224,27.329109
-56.580975,111,27.391569
-70.622576,96,27.42934
-74.188857,112,27.476232
-71.565229,97,27.514004
-54.927196,129,27.560899
34.386939,292,27.814583
-67.81037,93,27.86148
-40.57088,87,27.908314
-56.591145,93,27.946092
-62.494922,91,29.105857
-62.741678,127,29.186788
-62.040585,108,29.247379
-64.993391,89,29.287743
-65.88766,96,29.328114
-48.828854,118,29.490712
-41.932614,81,29.521263
-38.220588,82,29.559841
-47.60855,75,29.590358
-52.595812,97,29.630975
-52.485075,86,29.663537
-65.803394,103,29.704123
-31.455739,78,29.734604
-55.076449,85,29.775204
39.365217,306,30.018956
-38.736119,90,30.059663
-45.751568,78,30.090121
-50.060263,86,30.128687
-51.593283,86,30.161324
-43.805132,88,30.201912
-58.802184,86,31.402515
-50.722304,165,31.493293
-66.539832,94,31.541517
-50.785506,97,31.581796
-23.984731,68,31.723679
-33.215165,90,31.77412
-71.280625,100,31.816555
-39.051885,81,31.847003
-27.479976,78,31.877472
68.827498,253,31.989022
-65.15997,98,32.029301
-42.664838,81,32.059861
-53.381059,97,32.100457
-44.141945,79,32.134258
-54.188375,81,32.281384
-25.767297,81,32.31919
-50.536708,114,32.366058
-38.271206,84,32.412952
-39.295824,83,32.435142
-34.997261,66,32.466354
-47.388829,113,33.589201
-27.16921,68,33.627316
-41.299292,88,33.669543
-56.947213,106,33.727856
-32.670665,81,33.760079
-64.219296,111,33.931606
-38.646193,73,33.962122
-40.557482,78,33.990349
-25.91774,68,34.022679
-42.084483,75,34.053114
-58.493071,84,34.083459
-24.080647,73,34.114002
-31.965993,78,34.144326
-56.157066,87,34.184922
-50.973921,83,34.215489
-52.103601,87,34.256171
-30.317497,87,34.286643
-38.760201,78,34.317162
-53.998777,86,34.469206
-55.859796,95,34.509804
-38.77438,78,34.540042
-43.718768,85,34.580717
-50.540053,88,34.6112
-27.983758,80,34.649761
-37.410834,72,34.680142
-38.786849,72,35.750219
-41.178479,78,35.800693
-38.130273,80,35.840971
-23.467685,76,35.88116
-34.021236,66,35.911253
-30.399293,64,36.060831
-53.923534,78,36.086493
-26.869837,71,36.117735
-27.830161,66,36.148977
-49.917332,77,36.183454
-19.969429,74,36.213964
-38.167958,71,36.244423
-29.263875,71,36.272789
-28.723414,66,36.303188
-36.648286,74,36.333645
-29.916023,66,36.356098
-34.231099,77,36.394511
-28.406039,82,36.426815
-31.278866,75,36.457025
-39.477184,72,36.598739
-53.743669,100,36.647331
-33.836911,75,36.677857
-41.227662,76,36.708315
-47.067681,69,36.730761
-24.0654,83,36.771437
-53.674873,78,36.799884
-58.151303,101,36.840299
-31.698215,71,37.941705
-37.328949,71,37.982072
-38.698333,77,38.022356
-41.593119,76,38.062548
-55.25435,97,38.231764
-48.180495,75,38.257457
-41.721964,73,38.288699
-30.984337,69,38.319938
-36.651531,77,38.357745
-42.471025,74,38.388981
-33.156235,70,38.420231
-39.35835,83,38.442357
-54.170366,75,38.473602
-42.318626,83,38.520466
-41.725557,79,38.542652
-31.990134,66,38.573924
-33.964955,70,38.605166
-37.183424,71,38.636414
-18.511697,64,38.777876
-21.417051,72,38.80636
-31.680179,76,38.83686
-33.352101,69,38.867433
-10.772986,73,38.897935
-38.391888,76,38.928429
-24.550875,72,38.958811
-39.678658,74,38.989176
-28.782907,77,39.019663
-14.307594,66,39.048072
-31.788415,69,40.129079
-49.54613,82,40.169358
-44.175212,81,40.217755
-21.818064,72,40.258099
-19.223588,62,40.401347
-36.971048,68,40.43171
-41.06383,74,40.462199
-32.222338,75,40.492609
-30.87867,82,40.523141
-22.596272,77,40.56162
-41.962273,77,40.594139
-38.03338,68,40.624358
-30.19589,69,40.654571
-32.300079,79,40.684827
-17.479426,77,40.71509
-19.541787,68,40.745644
-20.91968,70,40.778327
-46.907618,81,40.925505
-40.878357,72,40.951168
-23.096574,70,40.982402
-36.221039,78,41.029266
-30.781993,69,41.058318
-31.528053,72,41.088836
-27.663559,70,41.117186
-41.824138,69,41.137518
-10.716272,75,41.169997
-45.350413,78,41.208621
-28.028953,73,41.239074
-24.613198,73,42.359669
-28.901885,72,42.409924
-32.808508,69,42.440089
-31.171739,75,42.631677
-26.973639,67,42.661898
-34.529276,71,42.690131
-25.396897,69,42.720403
-39.04748,71,42.750687
-35.375294,70,42.773101
-32.985849,81,42.81386
-39.18713,71,42.844202
-28.542309,68,42.864383
-26.85592,68,42.894848
-31.489472,70,42.925266
-50.035372,83,42.963628
-27.492031,63,42.985957
-26.56905,68,43.016402
-42.354846,70,43.146431
-24.703133,67,43.17872
-21.260041,76,43.209278
-28.211999,67,43.23984
-24.000659,69,43.270354
-34.817719,68,43.298767
-30.428916,66,43.321249
-42.361255,68,43.349599
-27.828324,65,43.380047
-33.347299,80,43.412604
-27.006314,64,43.432987
-32.502962,74,43.463521
-29.976535,73,44.573548
-30.229739,73,44.61366
-19.70297,64,44.633763
-44.393123,73,44.804896
-21.468856,67,44.833345
-20.307025,71,44.855718
-17.989533,71,44.886018
-23.647745,68,44.916536
-26.669703,72,44.947062
-32.557726,69,44.977534
-43.573074,79,45.007994
-32.693734,63,45.038537
-20.123631,70,45.06686
-16.39038,73,45.099334
-29.512664,61,45.119683
-15.088079,82,45.160233
-48.353612,80,45.190787
-32.966737,72,45.326233
-22.060563,70,45.357509
-37.181903,75,45.388751
-23.947215,70,45.413072
-31.488497,66,45.44353
-39.657724,72,45.47409
-17.402083,68,45.504569
-28.012388,68,45.532926
-39.972952,74,45.563476
-31.897263,73,45.593988
-24.976316,72,45.616461
-29.347362,68,45.646937
-20.785134,62,46.788104
-40.963469,74,46.817227
-22.005405,67,46.988108
-30.111823,74,47.018492
-28.491041,70,47.04895
-38.921183,76,47.079452
-25.73538,73,47.109884
-32.409941,80,47.140399
-42.165876,69,47.170752
-24.900327,67,47.200953
-22.440083,70,47.231109
-27.451625,67,47.261348
-27.283613,68,47.289762
-30.188911,74,47.320071
-21.888866,71,47.342484
-38.356142,74,47.381034
-21.785038,70,47.514661
-33.452469,77,47.553147
-40.330259,76,47.585663
-32.368193,75,47.616132
-45.570429,81,47.656899
-35.882382,75,47.687469
-12.993244,66,47.717884
-35.824821,74,47.748303
-21.594357,71,47.781048
-14.918513,62,47.809596
-25.371365,68,47.838016
-24.692026,66,47.860366
-36.545972,67,47.890884
-26.127837,68,49.038741
-23.46806,71,49.22037
-15.240074,71,49.250684
-22.288653,69,49.273124
-32.089914,72,49.303634
-33.614454,68,49.334142
-32.783957,69,49.364684
-21.668706,65,49.382938
-31.641191,67,49.415204
-25.400356,67,49.443409
-17.963081,76,49.475909
-21.11679,70,49.506358
-24.308467,70,49.536791
-23.573625,67,49.567216
-38.383414,73,49.595656
-43.711031,76,49.727937
-39.599403,69,49.760358
-28.60767,75,49.790765
-16.211703,73,49.8212
-17.344841,73,49.851712
-20.84982,67,49.880133
-33.674356,76,49.912748
-22.777522,69,49.941074
-31.820637,67,49.963467
-12.785129,69,49.994017
-45.948334,75,50.024581
-42.199964,73,50.055041
-29.128831,64,50.083386
-27.610757,66,50.105798
-23.528967,67,51.386925
-25.172622,67,51.425262
-40.350728,78,51.457812
-17.906023,72,51.488258
-32.173948,66,51.516619
-23.458799,73,51.539088
-20.048689,70,51.569578
-27.402268,70,51.598074
-29.753526,71,51.630473
-24.297098,65,51.658909
-27.401692,66,51.68134
-19.725837,63,51.711857
-24.111192,67,51.732151
-19.631377,68,51.762657
-22.688936,72,51.793171
-30.137637,63,51.933375
-20.692777,68,51.955767
-23.747538,65,51.98623
-34.990422,69,52.016639
-22.635809,71,52.047202
-27.377527,66,52.067553
-29.160265,60,52.098017
-32.585904,70,52.126364
-40.323796,81,52.158639
-21.94471,73,52.188977
-45.479757,74,52.219244
-44.221355,79,52.257756
-23.907698,67,52.280172
-23.172375,64,52.310666
-21.829388,60,52.442682
-25.72074,69,53.528584
-41.11625,73,53.568846
-47.910753,81,53.599141
-9.711104,73,53.647301
-15.666901,65,53.669486
-25.366772,69,53.707664
-30.662708,69,53.737784
-28.01976,73,53.769977
-33.398072,71,53.80039
-33.77663,78,53.830612
-39.702848,67,53.861094
-22.032177,60,53.881399
-36.97614,69,53.911897
-6.25146,74,53.942244
-26.740489,69,54.084304
-31.588694,73,54.114791
-23.919797,76,54.145236
-27.514019,76,54.175796
-30.318146,64,54.206209
-15.650105,71,54.2365
-24.613827,72,54.266911
-37.180665,70,54.297282
-29.257045,68,54.325643
-36.086972,90,54.358001
-24.836989,62,54.388235
-18.453171,64,54.416693
-35.583651,70,54.439093
-20.383229,71,54.469558
-24.159689,68,55.699677
-24.742268,68,55.729861
-36.462125,68,55.781505
-28.657417,62,55.810825
-22.762386,71,55.841086
-29.040546,71,55.871248
-24.040128,67,55.901505
-27.736664,67,55.931759
-22.892604,73,55.962149
-28.175171,75,55.992667
-33.975485,67,56.021042
-36.894488,69,56.043449
-26.99441,70,56.073941
-34.613719,62,56.104231
-18.411722,66,56.243868
-29.2273,69,56.274303
-33.381575,68,56.29678
-30.933753,67,56.327257
-34.81949,72,56.357739
-14.7217,72,56.386138
-36.220425,75,56.418286
-28.225368,69,56.448572
-32.506439,70,56.478948
-22.232196,69,56.50733
-26.201596,66,56.529684
-35.542182,69,56.559937
-21.819659,62,56.590258
-44.603926,73,56.620775
-30.309602,69,56.649159
-33.482191,77,56.779134
-20.501157,73,57.930446
-28.721147,68,57.970931
-36.263156,66,58.001131
-30.569363,70,58.041451
-26.487123,67,58.079704
-35.744179,72,58.111934
-18.379806,69,58.142241
