#{"t_start": 1615577844.2828126, "env_id": "CartPoleSwingUp-v0"}
r,l,t
-355.666679,500,1.735386
-459.301522,500,3.593111
-273.784114,281,12.193628
-375.460768,500,13.682125
-302.643321,500,23.908863
-243.163112,272,24.748689
-316.177137,500,34.50457
-472.683971,500,36.077485
-281.245478,306,37.042156
-443.890939,500,48.08246
-228.874856,465,49.639098
-136.907504,309,54.13576
-163.328537,191,54.652653
-179.176374,500,56.056274
-321.853632,500,61.99938
-151.354256,157,62.427932
-212.719593,257,63.13696
-143.87896,161,63.575741
-157.074006,182,65.913359
-191.754068,205,66.452865
-180.240552,204,66.991682
-142.509651,500,68.398239
-171.696573,378,73.922199
-60.462052,466,75.419754
-154.324855,165,75.958867
-129.25382,137,78.843756
-134.857051,158,79.376338
-191.688591,248,80.199395
-164.9469,278,81.070491
-125.239411,147,81.555988
-109.370668,156,84.663756
-77.413477,386,87.417182
-88.364395,150,87.86515
-99.680135,157,88.346683
-83.462053,116,88.70489
-98.014348,124,91.195765
-110.390642,130,91.643673
-81.971544,134,92.144897
-146.698257,158,92.614839
-193.441944,229,93.332231
-127.811328,248,94.150165
-114.063356,164,96.609391
-97.76498,130,97.097169
-69.609701,179,99.285191
-101.52405,150,99.802065
-87.688419,105,100.14056
-97.955612,177,100.835786
-86.874802,170,103.549093
-98.112374,126,103.96584
-116.830679,137,104.413442
-75.389955,92,104.729866
-33.232234,353,105.754821
-100.835487,113,106.071279
-68.407127,129,106.418965
-88.979081,102,108.208266
-103.06171,118,108.576214
-108.56258,131,109.039253
-105.071014,142,110.609856
-108.992249,129,110.935496
-93.279781,112,111.239465
-115.957655,205,111.767953
-72.28838,116,113.298754
-102.482401,121,113.621618
-104.394998,134,113.977787
-80.331007,198,114.526554
-80.805412,188,115.015499
-99.511003,117,115.320799
-71.715014,500,118.313786
-72.361301,275,120.334587
-98.996096,121,120.720038
-89.343989,103,121.039555
-135.591899,168,121.520837
-112.71599,372,123.484597
-134.048742,152,123.889956
-84.088137,100,124.14617
-79.382556,134,124.511677
-74.175242,107,124.786231
-85.037426,99,125.040319
-68.612673,134,126.382449
-75.766002,96,126.665455
-83.156822,90,127.012803
-98.932695,116,127.398143
-96.007653,124,129.071107
-69.494756,101,129.371988
-46.26855,258,130.142712
-87.021313,139,130.605545
-64.964965,86,132.062747
-55.770089,91,132.375489
-51.885888,82,132.679713
-66.582879,86,132.996047
-69.86831,106,133.420941
-56.147525,144,133.92958
-59.253574,102,134.255708
-76.153554,96,134.568869
-75.813105,121,135.060879
-95.495347,150,136.905913
-52.805318,85,137.186954
5.52214,293,138.106037
-75.370887,99,140.107637
-53.078825,81,140.3852
-68.391866,90,140.685951
-66.087751,111,141.086967
-51.33993,235,143.038273
-39.64229,130,143.423748
-53.836232,83,143.662056
-74.213676,112,143.994134
-41.547106,86,144.279343
-68.73854,100,144.564823
-61.375151,90,144.849969
-70.186213,86,145.0974
-71.248561,92,145.366611
-48.608748,86,145.629573
-68.876739,94,145.914748
-58.535538,89,147.233762
-70.333074,95,147.53459
-42.332497,78,147.772949
-66.826581,121,148.173985
-75.743591,117,148.559102
-38.099406,83,150.117568
-53.436005,110,150.441806
-44.236559,84,150.70031
-25.442948,80,150.94772
-44.869094,76,151.170332
-63.129199,92,152.589818
-77.884256,90,152.859405
-58.430758,83,153.238235
-43.086012,86,153.523343
-57.020463,76,153.824103
-73.36909,92,154.278411
-69.59568,91,154.763828
-61.574556,101,155.142727
-67.182358,95,155.427876
-79.872853,106,155.728699
-45.910389,89,155.99055
-60.484741,112,157.315012
-42.912824,81,157.548187
-43.048364,84,157.924644
-61.300984,97,158.394592
-54.409707,81,158.626366
-63.75367,92,158.880315
-56.433223,92,159.12779
-50.501486,85,160.553195
-52.357665,78,160.786734
-34.876765,76,161.015574
-58.612664,82,161.262968
-52.14659,84,161.548071
-32.132007,79,162.747051
-31.738414,76,162.980363
-47.278505,78,163.204081
-22.697127,75,163.416983
-42.452137,78,163.630071
-56.863083,88,163.874357
-47.230127,75,164.067605
-79.096553,132,164.420257
-48.251099,87,164.674656
-44.987124,76,164.86993
-31.945502,90,165.113977
-34.331643,75,165.326111
-33.868299,80,166.542601
-56.504698,101,166.813957
-54.720912,81,167.025421
-43.488845,81,167.230772
-56.995615,93,167.476562
-42.486983,71,167.696084
-33.877359,71,167.912263
-41.193141,75,169.386318
-53.34705,72,169.666327
-38.066874,66,169.898153
-36.680358,66,170.161152
-42.901198,78,170.445873
-43.935708,82,171.78462
-35.241252,68,171.992453
-23.287792,77,172.349615
-28.22491,79,172.810695
-43.603505,84,173.150518
-36.752814,78,173.470615
-63.0035,82,173.800401
-46.201322,88,174.150743
-46.055182,76,174.410454
-54.906398,88,174.700696
-33.652704,77,175.005591
-32.051001,69,175.250956
-34.59107,75,175.500842
-55.250414,75,176.813445
-29.401649,79,177.070527
-29.821313,72,177.340954
-44.038232,76,177.570588
-52.057875,81,177.840592
-41.951461,76,178.100562
-56.158139,87,178.620307
-35.158958,77,178.900389
-19.047429,72,179.120572
-25.349951,73,181.220446
-41.250771,85,181.520709
-28.32603,67,181.810587
-50.958956,79,182.135749
-45.514521,74,183.540492
-24.485376,70,183.77046
-39.501159,70,184.010457
-54.651722,80,184.270875
-36.617606,74,184.560408
-48.188103,76,184.840372
-19.733536,71,185.080831
-39.732805,74,185.310613
-49.160543,76,185.553591
-41.75159,76,185.780352
-44.288026,73,186.020916
-34.568779,80,186.290446
-38.524433,88,186.59093
-29.341934,71,186.820869
-35.700388,71,188.140533
-31.274626,66,188.330475
-38.262758,78,188.570611
-52.285543,74,188.990476
-49.306752,80,189.270477
-41.862851,76,189.500843
-21.374799,67,189.700891
-40.875896,78,189.930449
-34.074775,71,190.150723
-43.26378,78,191.653195
-25.558193,68,191.91347
-46.410988,72,192.12989
-40.730661,75,192.353321
-22.998619,76,193.617473
-64.680154,83,193.868805
-53.278572,82,194.117143
-52.030461,77,194.359008
-42.443195,71,194.572469
-32.530129,74,194.785917
-52.771002,80,195.021286
-39.683106,77,195.242694
-41.47625,69,195.48704
-45.405412,69,195.693993
-24.55694,72,195.916399
-38.301369,64,196.127837
-45.481684,83,196.379583
-22.875171,65,196.587044
-42.444054,72,197.822984
-40.572121,70,198.030489
-31.780116,70,198.253669
-31.617775,83,198.516965
-28.700884,71,198.733386
-56.681833,81,198.963797
-32.393848,77,199.188169
-25.732837,73,199.447477
-31.712155,65,199.672449
-33.440634,68,199.883479
-39.294183,70,201.329686
-28.838967,70,201.572218
-49.716101,78,201.804568
-31.76801,72,202.985056
-41.658669,68,203.184037
-31.84526,73,203.388458
-3.794223,79,203.613885
-42.676558,73,203.827313
-44.85433,79,204.081944
-24.623665,63,204.275119
-28.564124,76,204.529472
-32.371739,72,204.735474
-20.031319,65,204.933712
-30.819722,73,205.165801
-39.211074,68,205.36375
-23.04414,63,205.55424
-47.214021,88,205.822522
-18.988031,79,207.066869
-38.135376,71,207.267361
-41.305717,69,207.466826
-43.372706,66,207.654296
-30.48111,76,207.871742
-28.03748,70,208.076302
-38.071603,78,208.29811
-36.949363,77,208.524504
-15.073286,71,208.758793
-26.974591,69,208.960254
-28.934308,73,209.174712
-34.512974,81,210.598935
-36.615735,73,210.829319
-36.319047,78,211.07566
-50.499674,77,212.261617
-28.048622,68,212.455071
-29.921953,74,212.6785
-39.162095,75,212.903894
-31.998619,66,213.09277
-26.506516,74,213.307227
-47.929202,80,213.541466
-27.369775,66,213.728622
-37.648534,77,213.959004
-33.253381,69,214.156478
-42.971083,76,214.377909
-35.008698,74,214.612259
-37.200699,76,214.895455
-31.359726,71,216.335996
-36.7678,77,216.585809
-31.284155,76,216.825737
-31.368278,65,217.025646
-57.334835,72,217.236517
-38.650099,78,217.485567
-37.804718,71,217.725596
-32.531013,79,217.98548
-23.163627,66,218.185615
-21.554403,74,218.425499
-12.086933,80,218.685493
-25.069042,63,218.915453
-35.71343,85,220.595518
-38.920372,76,220.840575
-32.586587,76,222.0457
-49.536503,74,222.265538
-33.736001,77,222.485643
-44.839526,82,222.725839
-26.969332,78,222.955652
-23.042502,75,223.165507
-24.914548,74,223.38562
-25.402332,67,223.615407
-23.869949,74,223.845463
-33.206243,73,224.055804
-35.294532,74,224.275456
-23.805154,71,224.485575
-14.040751,73,224.705696
-28.832773,76,226.015574
-28.628054,75,226.255539
-40.822442,63,226.435778
-18.875992,75,226.685826
-39.809303,76,226.915736
-34.119792,68,227.145497
-36.390661,72,227.365649
-46.146571,78,227.596029
-23.981098,68,227.795735
-24.390339,66,227.995663
-16.700659,78,228.225597
-27.828525,67,228.425513
-16.865177,66,228.615547
-39.140654,68,230.0754
-32.168112,70,231.315501
-36.70723,79,231.555804
-29.522837,77,231.78295
-24.363596,73,231.990591
-23.988957,75,232.205599
-29.302025,70,232.415589
-43.376958,80,232.645774
-30.04387,73,232.855806
-27.72831,67,233.045778
-43.634672,68,233.245744
-21.009815,74,233.455868
-21.516677,77,233.675548
-23.948567,66,233.865669
-37.777176,67,234.055814
-46.323506,77,235.365863
-44.692638,85,235.605788
-27.905897,68,235.805828
-45.219976,77,236.026029
-31.58004,73,236.235644
-22.403576,72,236.44591
-20.220666,69,236.635636
-40.911862,65,236.826063
-23.253977,77,237.045592
-16.348756,70,237.255959
-18.068057,79,237.488762
-29.175101,69,237.685585
-34.084722,78,237.905753
-48.024947,78,239.315572
-39.32347,74,240.595733
-25.554763,70,240.79602
-33.228033,72,240.995761
-27.185079,67,241.195592
-19.77637,72,241.395752
-27.124639,67,241.595723
-37.030194,71,241.805787
-32.335033,73,242.015923
-30.030102,73,242.230449
-13.427582,67,242.425865
-50.186183,75,242.645831
-24.062551,71,242.845937
-21.968724,64,243.035553
-23.587101,72,243.23557
-31.864761,74,244.505943
-18.616863,68,244.745764
-29.392332,77,244.965559
-40.333939,78,245.195845
-37.9866,79,245.425742
-41.706566,74,245.635586
-10.496052,74,245.845556
-48.017858,93,246.115539
-34.122731,75,246.325661
-34.74639,72,246.535586
-29.879563,88,246.795867
-19.33959,73,247.005397
-25.870908,69,247.205547
-28.560162,63,249.715358
-36.695684,74,249.955816
-28.545411,74,250.185414
-32.121592,61,250.37549
-24.651219,72,250.6055
-50.404622,84,250.855561
-24.008652,68,251.105885
-35.811161,78,251.348374
-50.938458,97,251.635855
-29.967985,79,251.855917
-55.684794,71,252.060826
-23.125549,71,252.275559
-23.10851,73,252.495636
-34.195222,71,253.610891
-33.465345,73,253.815553
-47.833091,72,254.025977
-44.635475,74,254.235545
-18.525415,68,254.445463
-52.06276,95,254.730827
-36.466186,77,254.945472
-22.441126,75,255.165455
-24.301612,81,255.385545
-18.887717,65,255.565873
-49.907187,75,255.785892
-26.317394,73,255.995872
-24.381333,70,256.195747
-22.605574,73,256.415944
-40.748807,72,257.585641
-41.291187,69,259.075668
-45.970964,84,259.31537
-24.963779,67,259.525543
-30.261863,71,259.735848
-46.20783,86,260.075547
-19.188773,69,260.305582
-33.746897,75,260.545582
-49.700498,83,260.815405
-40.435865,72,261.065584
-34.332286,74,261.335397
-34.247359,75,261.585421
-24.903709,74,261.835371
-18.569295,68,263.205561
-29.246075,76,263.485431
-39.921163,79,263.755826
-34.901133,72,264.005445
-31.364015,75,264.255556
-39.232781,68,264.510479
-17.025309,66,264.775661
-37.449444,68,264.995716
-36.560017,78,265.235427
-26.023658,80,265.47561
-30.211372,75,265.685577
-44.609396,72,265.895509
-24.740569,76,266.115901
-21.318563,73,266.335555
-53.096458,73,267.571108
-39.418693,80,269.055866
-23.446451,64,269.275474
-42.624171,85,269.535828
-31.999185,75,269.765453
-24.912648,67,269.955687
-17.559754,69,270.155576
-21.06255,74,270.375697
-31.294893,75,270.595804
-35.358385,72,270.805507
-19.438947,81,271.045816
-47.190014,76,271.275708
-39.085385,67,271.465547
-31.940164,69,271.665423
-48.980802,69,272.895596
-45.479591,78,273.155894
-21.571182,77,273.39546
-37.556878,80,273.635737
-35.51487,71,273.845576
-17.497055,76,274.075648
-24.203344,68,274.275774
-24.129729,72,274.495516
-41.609932,87,274.745441
-24.23328,68,274.945523
-44.663246,75,275.165746
-21.225146,70,275.365851
-37.033017,75,275.585741
-39.833404,78,276.795586
-12.922169,75,277.025514
-17.041084,71,278.438096
-19.333212,73,278.665498
-27.387627,72,278.885506
-32.540222,70,279.085549
-52.609243,83,279.325626
-57.184618,76,279.545391
-40.356604,86,279.795689
-16.723009,64,279.985565
-22.517365,78,280.205586
-27.258023,64,280.395427
-21.343058,74,280.605686
-34.044308,81,281.855558
-33.039789,68,282.06567
-17.69254,77,282.295536
-21.168541,66,282.485571
-39.364769,78,282.715614
-48.274025,86,282.965804
-41.552498,75,283.175868
-29.264048,74,283.395843
-31.161,58,283.565818
-21.032584,75,283.795394
-17.765636,64,283.985558
-47.797278,79,284.23557
-55.803141,73,284.46545
-42.37705,73,284.675811
-25.33793,72,285.935383
-38.2397,81,286.175844
-27.011726,73,286.385474
